,Algorithms,Accuracy,False_Ratio,True_Ratio,AUC_Score
0,LogisticRegression,0.846456285566477,[0.         0.         0.         ... 0.99743659 0.99784134 1.        ],"[0.00000000e+00 4.43852641e-04 1.15401687e-02 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8962620206098052
1,RandomForest,0.8416968442834971,[0.         0.00148408 0.001619   ... 0.61292499 0.61319482 1.        ],[0.         0.07856192 0.07856192 ... 0.98490901 0.98490901 1.        ],0.8882636008018571
2,XGBoosting,0.8725297465080186,[0.         0.         0.         ... 0.99757151 0.99784134 1.        ],"[0.00000000e+00 4.43852641e-04 9.32090546e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.9241958135090731
3,SVM,0.8480082772891878,[0.       0.       0.       ... 0.998381 0.998381 1.      ],"[0.00000000e+00 4.43852641e-04 2.70750111e-02 ... 9.99556147e-01
 1.00000000e+00 1.00000000e+00]",0.8899464622213855
4,KNN,0.827211588204863,"[0.         0.01025364 0.04168915 0.09835402 0.19373988 0.34740961
 1.        ]","[0.         0.19618287 0.39680426 0.58233466 0.75454949 0.88992455
 1.        ]",0.8448537705557307
5,TunedRandomForest,0.8647697878944646,[0.         0.         0.         ... 0.99325418 0.9933891  1.        ],"[0.00000000e+00 4.43852641e-04 1.77541056e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.9159889709924455
6,TunedLogisticRegression,0.8468701500258665,[0.         0.         0.         ... 0.99689692 0.99730167 1.        ],"[0.00000000e+00 4.43852641e-04 1.15401687e-02 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8962650147587591
7,TunedXGBoosting,0.874495602690119,[0.         0.         0.         ... 0.99473826 0.99500809 1.        ],"[0.00000000e+00 4.43852641e-04 2.66311585e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.9257916350185122
8,TunedSVM,0.8508018623900673,[0.         0.         0.         ... 0.98880194 0.98880194 1.        ],"[0.00000000e+00 4.43852641e-04 3.59520639e-02 ... 9.99556147e-01
 1.00000000e+00 1.00000000e+00]",0.8823409645806551
9,TunedKNN,0.8406621831350233,"[0.         0.         0.00215866 0.00458716 0.00755532 0.01430113
 0.01996762 0.03197518 0.04506206 0.05720453 0.07218025 0.08958446
 0.11157582 0.14031301 0.17026444 0.20696168 0.2508095  0.29924447
 0.35739342 0.42201835 0.5519428  1.        ]","[0.         0.04083444 0.09498447 0.14070129 0.20106525 0.26187306
 0.31691079 0.38570794 0.44252108 0.4957834  0.5539281  0.61429206
 0.66577896 0.71460275 0.76608966 0.80914336 0.8490901  0.88592987
 0.92454505 0.95472703 0.97958278 1.        ]",0.8833645443420286
