,Algorithms,Accuracy,False_Ratio,True_Ratio,AUC_Score
0,LogisticRegression,0.8473874806001035,[0.         0.         0.         ... 0.99716676 0.99757151 1.        ],"[0.00000000e+00 4.43852641e-04 1.15401687e-02 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8962886086525156
1,RandomForest,0.8410760475944128,[0.         0.00121425 0.00134916 ... 0.6146789  0.61494873 1.        ],[0.         0.07811806 0.07811806 ... 0.9831336  0.9831336  1.        ],0.8880518246463491
2,XGBoosting,0.8725297465080186,[0.         0.         0.         ... 0.99757151 0.99784134 1.        ],"[0.00000000e+00 4.43852641e-04 9.32090546e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.9241958135090731
3,SVM,0.8556647697878945,[0.         0.         0.         ... 0.97679439 0.97679439 1.        ],"[0.00000000e+00 4.43852641e-04 7.76742122e-02 ... 9.99556147e-01
 1.00000000e+00 1.00000000e+00]",0.8891013337376632
4,KNN,0.8324883600620797,"[0.         0.01092822 0.0429034  0.0998381  0.19360496 0.34295737
 1.        ]","[0.         0.21083    0.42254771 0.60985353 0.76830892 0.8996893
 1.        ]",0.8539290959179211
5,TunedRandomForest,0.8645628556647698,[0.         0.         0.         ... 0.99325418 0.9933891  1.        ],"[0.00000000e+00 4.43852641e-04 1.77541056e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.9159921447903365
6,TunedLogisticRegression,0.8468701500258665,[0.         0.         0.         ... 0.99676201 0.99716676 1.        ],"[0.00000000e+00 4.43852641e-04 1.15401687e-02 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8962651944076964
7,TunedXGBoosting,0.874495602690119,[0.         0.         0.         ... 0.99473826 0.99500809 1.        ],"[0.00000000e+00 4.43852641e-04 2.66311585e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.9257916350185122
8,TunedSVM,0.8573202276254527,[0.         0.         0.         ... 0.98340529 0.98367512 1.        ],"[0.00000000e+00 4.43852641e-04 8.16688859e-02 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8980804271524758
9,TunedKNN,0.8470770822555613,"[0.         0.00107933 0.00296816 0.00593632 0.01025364 0.01605505
 0.02185645 0.03143551 0.04910955 0.0635456  0.07865623 0.09727469
 0.12223421 0.14894765 0.17889908 0.21357258 0.25512682 0.29614139
 0.34929843 0.41473287 0.53723691 1.        ]","[0.         0.05503773 0.12117177 0.16555704 0.22725255 0.2942743
 0.35952064 0.42964936 0.48912561 0.54593875 0.60275189 0.65778961
 0.70972037 0.7478917  0.79183311 0.83266755 0.87572126 0.91522415
 0.93697292 0.96138482 0.9840213  1.        ]",0.8942059385231755
